disease_name,mondo_id
adjacent normal tissue of hepatocellular carcinoma,na
hepatocellular carcinoma,MONDO:0007257
prostate adenocarcinoma,MONDO:0005159
adjacent normal tissue of prostate adenocarcinoma,na
adjacent normal tissue of kidney cancer,na
kidney cancer,MONDO:0002367
breast cancer,MONDO:0007254
diffuse large B-cell lymphoma,MONDO:0018905
follicular lymphoma,MONDO:0018906
triple-receptor negative breast cancer,MONDO:0005494
non-triple-receptor negative breast cancer,na
Her2-receptor positive breast cancer,MONDO:0006244
in situ pulmonary adenocarcinoma,MONDO:0000503
lung carcinoma,MONDO:0005138
adjacent normal tissue of in situ pulmonary adenocarcinoma,na
oral cavity cancer,MONDO:0005515
acute myeloid leukemia,MONDO:0018874
overt gastrointestinal stromal tumor,MONDO:0011719
mini gastrointestinal stromal tumor,MONDO:0011719
familial amyotrophic lateral sclerosis,MONDO:0005144
dilated cardiomyopathy,MONDO:0005021
bipolar disorder,MONDO:0004985
Merkel cell carcinoma,MONDO:0002120
squamous cell carcinoma,MONDO:0005096
melanoma,MONDO:0005105
basal cell carcinoma,MONDO:0020804
pleomorphic carcinoma ,MONDO:0003573
early onset Alzheimer's disease,MONDO:0004975
late onset Alzheimer's disease,MONDO:0004976
psoriasis,MONDO:0005083
leiomyoma,MONDO:0001572
alveolar soft part sarcoma,MONDO:0011655
prostate cancer,MONDO:0008315
obesity,MONDO:0011122
calcific aortic valve stenosis,MONDO:0042981
hepatosplenic T-cell lymphoma,MONDO:0019474
peripheral T-cell lymphoma,MONDO:0004964
adrenal gland cancer,MONDO:0002817
adjacent normal tissue of endometrial carcinoma,na
endometrial carcinoma,MONDO:0002447
metastatic castration resistant prostate cancer,MONDO:0004956
chronic obstructive pulmonary disease,MONDO:0005002
functionless pituitary adenoma,MONDO:0019613
acromegaly,MONDO:0019933
glioblastoma multiforme,MONDO:0018177
thymoma,MONDO:0006456
thymic carcinoma,MONDO:0006451
idiopathic pulmonary fibrosis,MONDO:0002771
estrogen-receptor positive breast cancer,MONDO:0006512
adjacent normal tissue of estrogen-receptor positive breast cancer,na
adjacent normal tissue of triple-receptor negative breast cancer,na
coronary artery calcification,MONDO:0005010
adjacent normal tissue of psoriasis,na
pterygium,MONDO:0005085
facioscapulohumeral muscular dystrophy 1,MONDO:0008030
facioscapulohumeral muscular dystrophy 2,MONDO:0008031
metastatic of breast cancer,MONDO:0007254
high grade dysplastic Barrett's esophagus,MONDO:0013662
low grade dysplastic Barrett's esophagus,MONDO:0013663
non-dysplastic Barrett's esophagus,MONDO:0013664
non-sarcomatoid clear cell renal cell carcinoma,MONDO:0005005
sarcomatoid clear cell renal cell carcinoma,MONDO:0003012
